"id","agcy_agencies_id","title","tags","created_at","created_by_agency_member_id","updated_at","updated_by_agency_member_id","deleted_at","deleted_by_agency_member_id"
28,75,"5 ที่เที่ยว SlowLife เชียงคาน หลงรักเลย ","ทัวร์เลย,เที่ยวเลย,รีวิวเลย,เชียงคาน,วัดเนรมิตวิปัสสนา,แพคเกจเชียงคาน,ทัวร์เที่ยวไทย,Thailandamazingยิ่งกว่าเดิม,แพคเกจเลย,ที่พักเชียงคาน,ตั๋วเครื่องบินราคาถูก,รีวิวเชียงคาน","2021-03-15 06:29:24",263,"2021-04-23 03:57:02",263,NULL,NULL
30,91,"10 เรื่องน่าทึ่งเกี่ยวกับสิงคโปร์ที่คุณยังไม่เคยรู้","สิงคโปร์,Singapore,เที่ยว,travel,เมืองสิงโต,เมอร์ไลออน","2021-03-21 14:42:11",328,"2021-03-21 15:01:45",328,NULL,NULL
31,91,"ราชอาณาจักรสเปน (Kingdom of Spain หรือ Reino de España ในภาษาสเปน) ","","2021-03-21 15:31:26",328,"2021-03-21 15:31:26",328,NULL,NULL
32,91,"ปราก เมืองที่มีตึกสูงนับร้อยแห่ง ได้ดึงดูดนักท่องเที่ยวมานานหลายศตวรรษ","","2021-03-21 16:04:25",328,"2021-03-21 16:04:25",328,NULL,NULL
33,111,"จังหวัดกระบี่","เกาะไก่,เกาะไหง,เกาะรอก,เกาะปอดะ,เกาะพีพีดอน,หมู่เกาะพีพี,กระบี่,น้ำตกร้อนคลองท่อม","2021-03-22 03:50:31",371,"2021-08-24 09:03:56",370,NULL,NULL
34,108,"TEST บทความ","","2021-03-25 04:25:41",361,"2021-03-25 04:25:41",361,NULL,NULL
35,91,"5 แลนด์มาร์ค สุดยอดที่เที่ยวรัสเซีย ถ้าไม่ได้ไปเยือน ต้องเสียใจแน่นอน","","2021-03-25 12:48:46",328,"2021-03-25 13:06:03",328,NULL,NULL
36,105,"ทุ่งดอกลาเวนเดอร์ เที่ยวฮอกไกโด ทัวร์ฮอกไกโด  เทศกาลแห่งทุ่งดอกไม้ ในฝัน สีสันแห่งฤดูร้อนในฮอกไกโด","ทุ่งดอกลาเวนเดอร์,เที่ยวฮอกไกโด,ทัวร์ฮอกไกโด,เทศกาลแห่งทุ่งดอกไม้,เทศกาลชมทุ่งดอกลาเวนเดอร์,ช่วงฤดูที่น่าท่องเที่ยวทุ่งฮอกไกโดมากที่สุด,กรกฎาคมเป็นช่วงที่ดอกไม้บานสะพรั่งเต็มที่,ฮอกไกโดดอกลาเวนเดอร์บานสะพรั่ง,ลาเวนเดอร์,เกาะฮอกไกโด,เที่ยวฮอกไกโดกับทีมทราเวล,จุด Check in ที่ฮอกไกโด","2021-03-26 14:33:47",351,"2021-03-26 14:39:14",351,NULL,NULL
37,105,"โอตารุ คลองโอตารุ ฮอกไกโด","","2021-03-26 14:48:56",351,"2021-03-26 14:48:56",351,NULL,NULL
38,91,"ซานโตรินี Santorini กรีซ สถานที่ท่องเที่ยว  ในฝันของใครหลายๆคน","","2021-03-27 12:54:08",328,"2021-03-27 12:58:43",328,NULL,NULL
39,111,"จังหวัดกาญจนบุรี","วัดถ้ำเสือ,กาญจนบุรี,สะพานข้ามแม่น้ำแคว,พระพุทธรูปปรางค์ประธานพร,ที่เที่ยวเมืองกาญ,ต้นจามจุรียักษ์","2021-03-29 04:49:05",370,"2021-08-24 09:00:54",370,NULL,NULL
40,91,"15 เรื่องน่ารู้ของ ซิดนีย์ โอเปร่า เฮาส์","ซิดนีย์,ออสเตรเลีย,โอเปร่า,OperaHouse","2021-04-01 11:49:24",328,"2021-04-01 11:49:24",328,NULL,NULL
41,124,"8 ปราสาทที่ยิ่งใหญ่ในญี่ปุ่น  (8 Great Castles in Japan) ","ปราสาทฮิเมจิ,ปราสาทนาโงย่า,ปราสาทคุมาโมโตะ,ปราสาทโอซาก้า,ปราสาทมัตสึโมโตะ,ปราสาทโอกายามะ,ปราสาทคาราสึ,ปราสาทฮิโกเนะ,ปราสาทญี่ปุ่น,ประเทศญี่ปุ่น","2021-04-07 08:37:36",402,"2021-04-07 08:42:04",402,NULL,NULL
